Iteration 1:
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No prominent nucleoli.', 'Large, prominent nucleoli within nuclei.'), Score: 0.6388
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in tumor cells.'), Score: 0.6383
('Normal background staining.', 'Increased eosinophilic cytoplasm.'), Score: 0.6348
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No mitotic figures in interfollicular zone.', 'Mitotic figures present in interfollicular zone.'), Score: 0.6344
('No stromal desmoplasia.', 'Presence of stromal desmoplasia.'), Score: 0.6334
('No fibrosis.', 'Desmoplastic reaction with dense fibrosis.'), Score: 0.6329
('No peritumoral lymphocytic infiltrate.', 'Prominent peritumoral lymphocytic infiltrate.'), Score: 0.6328
('No prominent nucleolus.', 'Large, vesicular nucleoli.'), Score: 0.6320
('No hemorrhage.', 'Areas of hemorrhage within the tissue.'), Score: 0.6319
('No hemorrhage.', 'Hemorrhage within the tumor tissue.'), Score: 0.6318
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('Follicular mantle zone well-defined.', 'Loss of follicular mantle zone.'), Score: 0.6269
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No increased vascularity.', 'Increased vascularity with atypical vessels.'), Score: 0.6256
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No stromal desmoplasia.', 'Marked stromal desmoplasia.'), Score: 0.6242
('Normal background staining.', 'Increased background staining intensity.'), Score: 0.6239
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Regular nuclear morphology.', 'Irregular nuclear contours and size.'), Score: 0.6217
('No prominent nucleoli.', 'Presence of large and prominent nucleoli.'), Score: 0.6216
('Small, reactive germinal centers.', 'Large, atypical germinal centers with prominent nucleoli.'), Score: 0.6216
('Lymphocytes with regular chromatin.', 'Lymphocytes with irregular chromatin.'), Score: 0.6213
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with varying size and shape.'), Score: 0.6197
('No prominent nucleolus.', 'Large and prominent nucleolus.'), Score: 0.6175
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('No atypical cells.', 'Presence of atypical cells with large nuclei.'), Score: 0.6168
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No prominent nucleoli.', 'Prominent nucleoli within tumor cell nuclei.'), Score: 0.6146
('No prominent nucleoli.', 'Large, irregular, and prominent nucleoli.'), Score: 0.6142
('No fibrosis.', 'Increased fibrosis surrounding tumor nests.'), Score: 0.6140
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No perinuclear halo.', 'Prominent perinuclear halo observed.'), Score: 0.6132
('Normal nuclear-to-cytoplasmic ratio.', 'High nuclear-to-cytoplasmic ratio.'), Score: 0.6128
('No prominent nucleoli.', 'Prominent nucleoli visible within nuclei.'), Score: 0.6125
('No prominent nucleoli.', 'Prominent nucleoli in tumor cells.'), Score: 0.6122
('Uniformly small lymphocytes.', 'Pleomorphic lymphocytes with variable size and shape.'), Score: 0.6120
('Normal nuclear to cytoplasmic ratio.', 'High nuclear to cytoplasmic ratio.'), Score: 0.6117
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('No fibrosis.', 'Desmoplastic reaction/fibrosis surrounding tumor cells.'), Score: 0.6111
('Regular nuclear morphology.', 'Irregular nuclear shapes and sizes.'), Score: 0.6091
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('No prominent nucleolus.', 'Large and irregular nucleoli.'), Score: 0.6087
('Clear cytoplasm in cells.', 'Increased eosinophilic cytoplasm.'), Score: 0.6081
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No prominent nucleoli.', 'Large, prominent nucleoli within tumor cells.'), Score: 0.6072
('Lymphocytes are evenly distributed.', 'Lymphocytes clustered around tumor cells.'), Score: 0.6056
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('Clear cytoplasm in lymphocytes.', 'Eosinophilic cytoplasm in atypical cells.'), Score: 0.6041
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal spindle-shaped cells.', 'Atypical spindle cells with pleomorphism.'), Score: 0.6026
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions in tumor cells.'), Score: 0.6018
('No single cell necrosis.', 'Presence of single cell necrosis.'), Score: 0.6005
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 270:
('No vascular invasion.', 'Evidence of vascular or perineural invasion.'), Score: 0.7947
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No vascular invasion.', 'Vascular or perineural invasion by tumor cells.'), Score: 0.7663
('No loss of B cell follicles.', 'Loss of B cell follicles.'), Score: 0.7629
('No prominent nucleolus.', 'Large and prominent nucleoli within nuclei.'), Score: 0.7609
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions.'), Score: 0.7586
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No angiolymphatic spaces.', 'Tumor cells within angiolymphatic spaces.'), Score: 0.7567
('Small, round nuclei with dense chromatin.', 'Large, irregular nuclei with vesicular chromatin.'), Score: 0.7552
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('Small, round nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.7454
('Uniform nuclear-to-cytoplasmic ratio.', 'High nuclear-to-cytoplasmic ratio.'), Score: 0.7441
('No eosinophilic inclusions.', 'Intracellular eosinophilic inclusions present.'), Score: 0.7432
('No prominent nucleolus.', 'Large and prominent nucleoli within tumor cells.'), Score: 0.7376
('Regular nuclear morphology.', 'Irregular nuclear contours and shapes.'), Score: 0.7366
('Small, round nuclei.', 'Large, irregular nuclei.'), Score: 0.7333
('No prominent nucleolus.', 'Large, prominent nucleoli within the nuclei.'), Score: 0.7305
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('No increased nuclear-to-cytoplasmic ratio.', 'Increased nuclear-to-cytoplasmic ratio.'), Score: 0.7175
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No prominent nucleolus.', 'Large, irregular, and prominent nucleoli.'), Score: 0.7158
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus within cells.'), Score: 0.7140
('No eosinophilic inclusions.', 'Intracellular eosinophilic inclusions.'), Score: 0.7122
('Small, round nuclei.', 'Large, irregular nuclei with prominent nucleoli.'), Score: 0.7117
('No hemorrhage.', 'Presence of hemorrhage within the tumor microenvironment.'), Score: 0.7116
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('Uniform nuclear size and shape.', 'Pleomorphic nuclei with variable size and shape.'), Score: 0.7050
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing.'), Score: 0.7032
('Normal follicular dendritic cell meshwork.', 'Distorted follicular dendritic cell meshwork.'), Score: 0.7018
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('Uniform lymphocyte size and shape.', 'Pleomorphic cells with variable nuclear size and shape.'), Score: 0.6966
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No loss of follicular dendritic cell network.', 'Loss of follicular dendritic cell network.'), Score: 0.6951
('No increased eosinophilic debris.', 'Increased eosinophilic debris and fragmented cells.'), Score: 0.6908
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No prominent nucleoli.', 'Nucleoli are prominent.'), Score: 0.6864
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('No atypical cells.', 'Presence of atypical cells with prominent nucleoli.'), Score: 0.6837
('Small, round nuclei.', 'Large, vesicular nuclei.'), Score: 0.6818
('No prominent nucleoli.', 'Large, prominent nucleoli within cells.'), Score: 0.6817
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No fibrosis.', 'Extensive collagen deposition and fibrosis.'), Score: 0.6740
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Uniform cell size.', 'Variable cell size and shape.'), Score: 0.6726
('No fibrosis.', 'Desmoplastic reaction with increased fibrosis.'), Score: 0.6707
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No hemorrhage.', 'Hemorrhage within the tumor microenvironment.'), Score: 0.6677
('No prominent nucleolus.', 'Large and prominent nucleoli.'), Score: 0.6664
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No vascular congestion.', 'Vascular congestion and tumor emboli.'), Score: 0.6625
('No sinus histiocytosis.', 'Prominent sinus histiocytosis.'), Score: 0.6624
('No fibrosis.', 'Desmoplastic reaction/fibrosis.'), Score: 0.6578
('No evidence of fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6540
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No prominent nucleoli or inclusion bodies.', 'Prominent nucleoli and/or inclusion bodies.'), Score: 0.6531
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No atypical cells.', 'Presence of atypical cells with hyperchromatic nuclei.'), Score: 0.6495
('Lymphocytes are evenly distributed.', 'Lymphocytes are clustered around atypical cells.'), Score: 0.6490
('No fibrosis.', 'Desmoplastic reaction with increased collagen deposition.'), Score: 0.6486
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('Uniform nuclear morphology.', 'Pleomorphic nuclear features.'), Score: 0.6474
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('No fibrosis.', 'Prominent fibrosis surrounding tumor nests.'), Score: 0.6463
('No fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6453
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No fibrosis.', 'Desmoplastic reaction with abundant fibrosis.'), Score: 0.6452
('Uniform nuclear size.', 'Pleomorphic nuclei with varying sizes.'), Score: 0.6451
('No fibrosis.', 'Extensive fibrosis and collagen deposition.'), Score: 0.6432
('No discernible nucleoli.', 'Multiple, prominent nucleoli.'), Score: 0.6427
('No angiolymphatic invasion.', 'Angiolymphatic invasion observed.'), Score: 0.6424
('No crush artifact.', 'Crush artifact present.'), Score: 0.6420
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('No prominent nucleoli.', 'Large, prominent nucleoli within nuclei.'), Score: 0.6388
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in tumor cells.'), Score: 0.6383
('Normal background staining.', 'Increased eosinophilic cytoplasm.'), Score: 0.6348
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No mitotic figures in interfollicular zone.', 'Mitotic figures present in interfollicular zone.'), Score: 0.6344
('No stromal desmoplasia.', 'Presence of stromal desmoplasia.'), Score: 0.6334
('No fibrosis.', 'Desmoplastic reaction with dense fibrosis.'), Score: 0.6329
('No peritumoral lymphocytic infiltrate.', 'Prominent peritumoral lymphocytic infiltrate.'), Score: 0.6328
('No prominent nucleolus.', 'Large, vesicular nucleoli.'), Score: 0.6320
('No hemorrhage.', 'Areas of hemorrhage within the tissue.'), Score: 0.6319
('No hemorrhage.', 'Hemorrhage within the tumor tissue.'), Score: 0.6318
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('Follicular mantle zone well-defined.', 'Loss of follicular mantle zone.'), Score: 0.6269
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No increased vascularity.', 'Increased vascularity with atypical vessels.'), Score: 0.6256
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No stromal desmoplasia.', 'Marked stromal desmoplasia.'), Score: 0.6242
('Normal background staining.', 'Increased background staining intensity.'), Score: 0.6239
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Regular nuclear morphology.', 'Irregular nuclear contours and size.'), Score: 0.6217
('No prominent nucleoli.', 'Presence of large and prominent nucleoli.'), Score: 0.6216
('Small, reactive germinal centers.', 'Large, atypical germinal centers with prominent nucleoli.'), Score: 0.6216
('Lymphocytes with regular chromatin.', 'Lymphocytes with irregular chromatin.'), Score: 0.6213
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with varying size and shape.'), Score: 0.6197
('No prominent nucleolus.', 'Large and prominent nucleolus.'), Score: 0.6175
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('No atypical cells.', 'Presence of atypical cells with large nuclei.'), Score: 0.6168
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No prominent nucleoli.', 'Prominent nucleoli within tumor cell nuclei.'), Score: 0.6146
('No prominent nucleoli.', 'Large, irregular, and prominent nucleoli.'), Score: 0.6142
('No fibrosis.', 'Increased fibrosis surrounding tumor nests.'), Score: 0.6140
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No perinuclear halo.', 'Prominent perinuclear halo observed.'), Score: 0.6132
('Normal nuclear-to-cytoplasmic ratio.', 'High nuclear-to-cytoplasmic ratio.'), Score: 0.6128
('No prominent nucleoli.', 'Prominent nucleoli visible within nuclei.'), Score: 0.6125
('No prominent nucleoli.', 'Prominent nucleoli in tumor cells.'), Score: 0.6122
('Uniformly small lymphocytes.', 'Pleomorphic lymphocytes with variable size and shape.'), Score: 0.6120
('Normal nuclear to cytoplasmic ratio.', 'High nuclear to cytoplasmic ratio.'), Score: 0.6117
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('No fibrosis.', 'Desmoplastic reaction/fibrosis surrounding tumor cells.'), Score: 0.6111
('Regular nuclear morphology.', 'Irregular nuclear shapes and sizes.'), Score: 0.6091
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('No prominent nucleolus.', 'Large and irregular nucleoli.'), Score: 0.6087
('Clear cytoplasm in cells.', 'Increased eosinophilic cytoplasm.'), Score: 0.6081
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No prominent nucleoli.', 'Large, prominent nucleoli within tumor cells.'), Score: 0.6072
('Lymphocytes are evenly distributed.', 'Lymphocytes clustered around tumor cells.'), Score: 0.6056
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('Clear cytoplasm in lymphocytes.', 'Eosinophilic cytoplasm in atypical cells.'), Score: 0.6041
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal spindle-shaped cells.', 'Atypical spindle cells with pleomorphism.'), Score: 0.6026
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions in tumor cells.'), Score: 0.6018
('No single cell necrosis.', 'Presence of single cell necrosis.'), Score: 0.6005
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 280:
('No vascular invasion.', 'Evidence of vascular or perineural invasion.'), Score: 0.7947
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No vascular invasion.', 'Vascular or perineural invasion by tumor cells.'), Score: 0.7663
('No loss of B cell follicles.', 'Loss of B cell follicles.'), Score: 0.7629
('No prominent nucleolus.', 'Large and prominent nucleoli within nuclei.'), Score: 0.7609
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions.'), Score: 0.7586
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No angiolymphatic spaces.', 'Tumor cells within angiolymphatic spaces.'), Score: 0.7567
('Small, round nuclei with dense chromatin.', 'Large, irregular nuclei with vesicular chromatin.'), Score: 0.7552
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('Small, round nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.7454
('Uniform nuclear-to-cytoplasmic ratio.', 'High nuclear-to-cytoplasmic ratio.'), Score: 0.7441
('No eosinophilic inclusions.', 'Intracellular eosinophilic inclusions present.'), Score: 0.7432
('No prominent nucleolus.', 'Large and prominent nucleoli within tumor cells.'), Score: 0.7376
('Regular nuclear morphology.', 'Irregular nuclear contours and shapes.'), Score: 0.7366
('Small, round nuclei.', 'Large, irregular nuclei.'), Score: 0.7333
('No prominent nucleolus.', 'Large, prominent nucleoli within the nuclei.'), Score: 0.7305
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('No increased nuclear-to-cytoplasmic ratio.', 'Increased nuclear-to-cytoplasmic ratio.'), Score: 0.7175
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No prominent nucleolus.', 'Large, irregular, and prominent nucleoli.'), Score: 0.7158
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus within cells.'), Score: 0.7140
('No eosinophilic inclusions.', 'Intracellular eosinophilic inclusions.'), Score: 0.7122
('Small, round nuclei.', 'Large, irregular nuclei with prominent nucleoli.'), Score: 0.7117
('No hemorrhage.', 'Presence of hemorrhage within the tumor microenvironment.'), Score: 0.7116
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('Uniform nuclear size and shape.', 'Pleomorphic nuclei with variable size and shape.'), Score: 0.7050
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing.'), Score: 0.7032
('Normal follicular dendritic cell meshwork.', 'Distorted follicular dendritic cell meshwork.'), Score: 0.7018
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('Uniform lymphocyte size and shape.', 'Pleomorphic cells with variable nuclear size and shape.'), Score: 0.6966
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No loss of follicular dendritic cell network.', 'Loss of follicular dendritic cell network.'), Score: 0.6951
('No increased eosinophilic debris.', 'Increased eosinophilic debris and fragmented cells.'), Score: 0.6908
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No prominent nucleoli.', 'Nucleoli are prominent.'), Score: 0.6864
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('No atypical cells.', 'Presence of atypical cells with prominent nucleoli.'), Score: 0.6837
('No prominent nucleoli.', 'Prominent nucleoli observed.'), Score: 0.6830
('Small, round nuclei.', 'Large, vesicular nuclei.'), Score: 0.6818
('No prominent nucleoli.', 'Large, prominent nucleoli within cells.'), Score: 0.6817
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No fibrosis.', 'Extensive collagen deposition and fibrosis.'), Score: 0.6740
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Uniform cell size.', 'Variable cell size and shape.'), Score: 0.6726
('No fibrosis.', 'Desmoplastic reaction with increased fibrosis.'), Score: 0.6707
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No hemorrhage.', 'Hemorrhage within the tumor microenvironment.'), Score: 0.6677
('No prominent nucleolus.', 'Large and prominent nucleoli.'), Score: 0.6664
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No vascular congestion.', 'Vascular congestion and tumor emboli.'), Score: 0.6625
('No sinus histiocytosis.', 'Prominent sinus histiocytosis.'), Score: 0.6624
('No fibrosis.', 'Desmoplastic reaction/fibrosis.'), Score: 0.6578
('No evidence of fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6540
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No prominent nucleoli or inclusion bodies.', 'Prominent nucleoli and/or inclusion bodies.'), Score: 0.6531
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No atypical cells.', 'Presence of atypical cells with hyperchromatic nuclei.'), Score: 0.6495
('Lymphocytes are evenly distributed.', 'Lymphocytes are clustered around atypical cells.'), Score: 0.6490
('No fibrosis.', 'Desmoplastic reaction with increased collagen deposition.'), Score: 0.6486
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('Uniform nuclear morphology.', 'Pleomorphic nuclear features.'), Score: 0.6474
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('No fibrosis.', 'Prominent fibrosis surrounding tumor nests.'), Score: 0.6463
('No fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6453
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No fibrosis.', 'Desmoplastic reaction with abundant fibrosis.'), Score: 0.6452
('Uniform nuclear size.', 'Pleomorphic nuclei with varying sizes.'), Score: 0.6451
('No fibrosis.', 'Extensive fibrosis and collagen deposition.'), Score: 0.6432
('No discernible nucleoli.', 'Multiple, prominent nucleoli.'), Score: 0.6427
('No angiolymphatic invasion.', 'Angiolymphatic invasion observed.'), Score: 0.6424
('No crush artifact.', 'Crush artifact present.'), Score: 0.6420
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('No prominent nucleoli.', 'Large, prominent nucleoli within nuclei.'), Score: 0.6388
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in tumor cells.'), Score: 0.6383
('Normal background staining.', 'Increased eosinophilic cytoplasm.'), Score: 0.6348
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No mitotic figures in interfollicular zone.', 'Mitotic figures present in interfollicular zone.'), Score: 0.6344
('No stromal desmoplasia.', 'Presence of stromal desmoplasia.'), Score: 0.6334
('No fibrosis.', 'Desmoplastic reaction with dense fibrosis.'), Score: 0.6329
('No peritumoral lymphocytic infiltrate.', 'Prominent peritumoral lymphocytic infiltrate.'), Score: 0.6328
('No prominent nucleolus.', 'Large, vesicular nucleoli.'), Score: 0.6320
('No hemorrhage.', 'Areas of hemorrhage within the tissue.'), Score: 0.6319
('No hemorrhage.', 'Hemorrhage within the tumor tissue.'), Score: 0.6318
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('Follicular mantle zone well-defined.', 'Loss of follicular mantle zone.'), Score: 0.6269
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No increased vascularity.', 'Increased vascularity with atypical vessels.'), Score: 0.6256
